StockCode,Description,Total_Units,Calculated_Velocity
23843,"PAPER CRAFT , LITTLE BIRDIE",80995,18.96838407494145
23166,MEDIUM CERAMIC TOP STORAGE JAR,76919,18.013817330210774
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,49086,11.495550351288056
22197,SMALL POPCORN HOLDER,45609,10.681264637002341
85099B,JUMBO BAG RED RETROSPOT,41878,9.807494145199064
85123A,WHITE HANGING HEART T-LIGHT HOLDER,34687,8.123419203747073
84879,ASSORTED COLOUR BIRD ORNAMENT,32628,7.641217798594848
22616,PACK OF 12 LONDON TISSUES ,24321,5.6957845433255265
17003,BROCADE RING PURSE ,22675,5.3103044496487115
21212,PACK OF 72 RETROSPOT CAKE CASES,22442,5.255737704918033
22178,VICTORIAN GLASS HANGING T-LIGHT,21876,5.123185011709602
21977,PACK OF 60 PINK PAISLEY CAKE CASES,19959,4.6742388758782205
15036,ASSORTED COLOURS SILK FAN,19116,4.476814988290398
22386,JUMBO BAG PINK POLKADOT,18075,4.2330210772833725
23203,JUMBO BAG DOILEY PATTERNS,16972,3.9747072599531617
21915,RED  HARMONICA IN BOX ,16895,3.9566744730679155
22469,HEART OF WICKER SMALL,16354,3.829976580796253
84946,ANTIQUE SILVER TEA GLASS ETCHED,16220,3.798594847775176
85099F,JUMBO BAG STRAWBERRY,15765,3.6920374707259955
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,14772,3.4594847775175643
84755,COLOUR GLASS T-LIGHT HOLDER HANGING,14739,3.4517564402810303
22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,14668,3.435128805620609
47566,PARTY BUNTING,13980,3.2740046838407495
22492,MINI PAINT SET VINTAGE ,13583,3.181030444964871
22151,PLACE SETTING WHITE HEART,13475,3.1557377049180326
20725,LUNCH BAG RED RETROSPOT,13373,3.1318501170960187
84991,60 TEATIME FAIRY CAKE CASES,13280,3.110070257611241
16014,SMALL CHINESE STYLE SCISSOR,13028,3.0510538641686185
20668,DISCO BALL CHRISTMAS DECORATION,12402,2.9044496487119438
85099C,JUMBO  BAG BAROQUE BLACK WHITE,12121,2.8386416861826698
71459,HANGING JAM JAR T-LIGHT HOLDER,12017,2.8142857142857145
23199,JUMBO BAG APPLES,11819,2.7679156908665106
21790,VINTAGE SNAP CARDS,11789,2.7608899297423886
23084,RABBIT NIGHT LIGHT,11716,2.743793911007026
21213,PACK OF 72 SKULL CAKE CASES,11701,2.7402810304449647
21175,GIN + TONIC DIET METAL SIGN,11573,2.710304449648712
22952,60 CAKE CASES VINTAGE CHRISTMAS,11460,2.6838407494145198
22998,TRAVEL CARD WALLET KEEP CALM,11397,2.6690866510538642
23201,JUMBO BAG ALPHABET,11263,2.637704918032787
21137,BLACK RECORD COVER FRAME,11053,2.588524590163934
21181,PLEASE ONE PERSON METAL SIGN,11052,2.5882903981264636
22961,JAM MAKING SET PRINTED,11026,2.5822014051522246
21931,JUMBO STORAGE BAG SUKI,10832,2.5367681498829038
23209,LUNCH BAG DOILEY PATTERN ,10408,2.437470725995316
84568,GIRLS ALPHABET IRON ON PATCHES ,10176,2.3831381733021075
22659,LUNCH BOX I LOVE LONDON,9975,2.3360655737704916
22969,HOMEMADE JAM SCENTED CANDLES,9932,2.3259953161592506
22993,SET OF 4 PANTRY JELLY MOULDS,9921,2.3234192037470724
84978,HANGING HEART JAR T-LIGHT HOLDER,9917,2.32248243559719
21326,AGED GLASS SILVER T-LIGHT HOLDER,9881,2.3140515222482434
20727,LUNCH BAG  BLACK SKULL.,9859,2.3088992974238876
23202,JUMBO BAG VINTAGE LEAF,9846,2.305854800936768
84992,72 SWEETHEART FAIRY CAKE CASES,9740,2.281030444964871
21975,PACK OF 60 DINOSAUR CAKE CASES,9733,2.279391100702576
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,9731,2.2789227166276347
84945,MULTI COLOUR SILVER T-LIGHT HOLDER,9727,2.2779859484777516
21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,9700,2.271662763466042
22423,REGENCY CAKESTAND 3 TIER,9617,2.252224824355972
23310,BUBBLEGUM RING ASSORTED,9587,2.24519906323185
22470,HEART OF WICKER LARGE,9512,2.2276346604215456
79321,CHILLI LIGHTS,9494,2.223419203747073
22383,LUNCH BAG SUKI  DESIGN ,9465,2.2166276346604215
20971,PINK BLUE FELT CRAFT TRINKET BOX,9454,2.2140515222482438
20713,JUMBO BAG OWLS,9322,2.183138173302108
21498,RED RETROSPOT WRAP ,9272,2.1714285714285713
22577,WOODEN HEART CHRISTMAS SCANDINAVIAN,9139,2.1402810304449646
23206,LUNCH BAG APPLE DESIGN,9061,2.1220140515222483
21928,JUMBO BAG SCANDINAVIAN PAISLEY,9055,2.120608899297424
21703,BAG 125g SWIRLY MARBLES,8981,2.10327868852459
21080,SET/20 RED RETROSPOT PAPER NAPKINS ,8847,2.071896955503513
21929,JUMBO BAG PINK VINTAGE PAISLEY,8823,2.0662763466042153
21166,COOK WITH WINE METAL SIGN ,8771,2.054098360655738
84212,"ASSORTED FLOWER COLOUR ""LEIS""",8713,2.0405152224824357
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,8681,2.0330210772833723
21232,STRAWBERRY CERAMIC TRINKET BOX,8615,2.0175644028103044
22578,WOODEN STAR CHRISTMAS SCANDINAVIAN,8611,2.0166276346604217
20728,LUNCH BAG CARS BLUE,8600,2.0140515222482436
20724,RED RETROSPOT CHARLOTTE BAG,8593,2.0124121779859485
22988,SOLDIERS EGG CUP ,8589,2.0114754098360654
84947,ANTIQUE SILVER TEA GLASS ENGRAVED,8183,1.9163934426229507
21497,FANCY FONTS BIRTHDAY WRAP,8175,1.914519906323185
22610,PENS ASSORTED FUNNY FACE,8174,1.9142857142857144
21985,PACK OF 12 HEARTS DESIGN TISSUES ,8144,1.9072599531615926
22189,CREAM HEART CARD HOLDER,8088,1.8941451990632319
22384,LUNCH BAG PINK POLKADOT,8079,1.8920374707259953
23307,SET OF 60 PANTRY DESIGN CAKE CASES ,8077,1.891569086651054
23344,JUMBO BAG 50'S CHRISTMAS ,8065,1.8887587822014051
22457,NATURAL SLATE HEART CHALKBOARD ,8061,1.8878220140515223
82482,WOODEN PICTURE FRAME WHITE FINISH,7993,1.871896955503513
85152,HAND OVER THE CHOCOLATE   SIGN ,7946,1.8608899297423886
84970S,HANGING HEART ZINC T-LIGHT HOLDER,7784,1.8229508196721311
23077,DOUGHNUT LIP GLOSS ,7682,1.7990632318501172
16045,POPART WOODEN PENCILS ASST,7600,1.7798594847775175
23301,GARDENERS KNEELING PAD KEEP CALM ,7530,1.7634660421545667
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,7493,1.7548009367681499
22865,HAND WARMER OWL DESIGN,7468,1.7489461358313818
22699,ROSES REGENCY TEACUP AND SAUCER ,7394,1.7316159250585481
21733,RED HANGING HEART T-LIGHT HOLDER,7239,1.6953161592505854
23232,WRAP VINTAGE PETALS  DESIGN,7225,1.6920374707259953
21891,TRADITIONAL WOODEN SKIPPING ROPE,7123,1.6681498829039814
22791,T-LIGHT GLASS FLUTED ANTIQUE,7108,1.6646370023419204
22741,FUNKY DIVA PEN,7068,1.6552693208430913
22560,TRADITIONAL MODELLING CLAY,7006,1.6407494145199064
22385,JUMBO BAG SPACEBOY DESIGN,6932,1.6234192037470725
22355,CHARLOTTE BAG SUKI DESIGN,6926,1.6220140515222483
22382,LUNCH BAG SPACEBOY DESIGN ,6920,1.620608899297424
M,Manual,6894,1.614519906323185
21787,RAIN PONCHO RETROSPOT,6880,1.6112412177985949
